Entity,Code,Year, (% of GDP)
Croatia,2013,7.82827445,
Cuba,2003,6.31477793,
Cuba,2004,6.13763913,
Cuba,2005,9.39424353,
Cuba,2006,7.67119625,
Cuba,2007,10.41968483,
Cuba,2008,10.79330726,
Cuba,2009,11.78167488,
Cuba,2010,10.19428176,
Cuba,2011,10.59691898,
Cuba,2012,8.59069933,
Cuba,2013,9.48202921,
Cyprus,2003,6.83046446,
Cyprus,2004,6.41800628,
Cyprus,2005,6.3690867,
Cyprus,2006,6.27810151,
Cyprus,2007,6.05253416,
Cyprus,2008,6.89217292,
Cyprus,2009,7.40220132,
Cyprus,2010,7.2339653,
Cyprus,2011,7.53731961,
Cyprus,2012,7.43887767,
Cyprus,2013,7.45866684,
Czech Republic,2003,7.13181689,
Czech Republic,2004,6.90346859,
Czech Republic,2005,6.93394326,
Czech Republic,2006,6.69370303,
Czech Republic,2007,6.522339,
Czech Republic,2008,6.81889577,
Czech Republic,2009,7.84539515,
Czech Republic,2010,7.4318989,
Czech Republic,2011,7.50106056,
Czech Republic,2012,7.54794135,
Czech Republic,2013,7.48649513,
Democratic Republic of Congo,2003,3.20376686,
Democratic Republic of Congo,2004,3.33995801,
Democratic Republic of Congo,2005,3.14461623,
Democratic Republic of Congo,2006,3.38568114,
Democratic Republic of Congo,2007,3.61073821,
Democratic Republic of Congo,2008,4.45778277,
Democratic Republic of Congo,2009,5.6131874,
Democratic Republic of Congo,2010,4.04297925,
Democratic Republic of Congo,2011,3.53486147,
Democratic Republic of Congo,2012,3.7652661,
Democratic Republic of Congo,2013,3.88677527,
Denmark,2003,9.50939145,
Denmark,2004,9.67486939,
Denmark,2005,9.7699606,
Denmark,2006,9.92431629,
Denmark,2007,9.98729401,
Denmark,2008,10.18303034,
Denmark,2009,11.47219769,
Denmark,2010,11.08183797,
Denmark,2011,10.86554541,
Denmark,2012,10.9838191,
Denmark,2013,11.24700751,
Djibouti,2003,6.2210856,
Djibouti,2004,6.7637107,
Djibouti,2005,7.21478463,
Djibouti,2006,7.05121762,
Djibouti,2007,7.72082465,
Djibouti,2008,8.04957964,
Djibouti,2009,8.37116146,
Djibouti,2010,8.84146484,
Djibouti,2011,8.71121911,
Djibouti,2012,8.94711732,
Djibouti,2013,9.13982602,
Dominica,2003,4.58840093,
Dominica,2004,4.31835019,
Dominica,2005,4.5907974,
Dominica,2006,4.54040177,
Dominica,2007,4.66781159,
Dominica,2008,4.54347143,
Dominica,2009,5.259277,
Dominica,2010,5.71976867,
Dominica,2011,5.63311849,
Dominica,2012,5.35510714,
Dominica,2013,5.58003918,
Dominican Republic,2003,5.53403296,
Dominican Republic,2003,5.53403296,
Dominican Republic,2004,4.28073586,
Dominican Republic,2004,4.28073586,
Dominican Republic,2005,4.26151651,
Dominican Republic,2005,4.26151651,
Dominican Republic,2006,4.34435286,
Dominican Republic,2006,4.34435286,
Dominican Republic,2007,4.34354051,
Dominican Republic,2007,4.34354051,
Dominican Republic,2008,4.19632994,
Dominican Republic,2008,4.19632994,
Dominican Republic,2009,4.41085261,
Dominican Republic,2009,4.41085261,
Dominican Republic,2010,4.06246968,
Dominican Republic,2010,4.06246968,
Dominican Republic,2011,4.21893383,
Dominican Republic,2011,4.21893383,
Dominican Republic,2012,4.26412797,
Dominican Republic,2012,4.26412797,
Dominican Republic,2013,4.11902833,
Dominican Republic,2013,4.11902833,
Ecuador,2003,6.46381498,
Ecuador,2004,6.21729056,
Ecuador,2005,5.87295184,
Ecuador,2006,5.85722282,
Ecuador,2007,5.93693781,
Ecuador,2008,5.66029931,
Ecuador,2009,5.57500385,
Ecuador,2010,5.9021487,
Ecuador,2011,5.9151677,
Ecuador,2012,6.47936086,
Ecuador,2013,7.28688971,
Egypt,2003,5.41204355,
Egypt,2004,5.21090557,
Egypt,2005,5.06260429,
Egypt,2006,5.23956984,
Egypt,2007,4.95043355,
Egypt,2008,4.81986313,
Egypt,2009,5.0088987,
Egypt,2010,4.79725822,
Egypt,2011,5.03966667,
Egypt,2012,5.29360162,
Egypt,2013,5.46252124,
El Salvador,2003,7.60620874,
El Salvador,2004,7.29741079,
El Salvador,2005,7.19019921,
El Salvador,2006,6.67646241,
El Salvador,2007,6.31506264,
El Salvador,2008,6.21326237,
El Salvador,2009,6.83139755,
El Salvador,2010,6.912477,
El Salvador,2011,6.8080665,
El Salvador,2012,6.70445412,
El Salvador,2013,6.94580058,
Equatorial Guinea,2003,2.22972919,
Equatorial Guinea,2003,2.22972919,
Equatorial Guinea,2004,2.39764528,
Equatorial Guinea,2004,2.39764528,
Equatorial Guinea,2005,1.63062912,
Equatorial Guinea,2005,1.63062912,
Equatorial Guinea,2006,2.12883668,
Equatorial Guinea,2006,2.12883668,
Equatorial Guinea,2007,2.24801409,
Equatorial Guinea,2007,2.24801409,
Equatorial Guinea,2008,2.311263,
Equatorial Guinea,2008,2.311263,
Equatorial Guinea,2009,5.32060059,
Equatorial Guinea,2009,5.32060059,
Equatorial Guinea,2010,3.83919384,
Equatorial Guinea,2010,3.83919384,
Equatorial Guinea,2011,3.29221335,
Equatorial Guinea,2011,3.29221335,
Equatorial Guinea,2012,4.00084211,
Equatorial Guinea,2012,4.00084211,
Equatorial Guinea,2013,3.73335792,
Equatorial Guinea,2013,3.73335792,
Eritrea,2003,3.50246439,
Eritrea,2004,3.14235447,
Eritrea,2005,2.96792167,
Eritrea,2006,3.29897088,
Eritrea,2007,3.29157461,
Eritrea,2008,3.68846683,
Eritrea,2009,3.30193937,
Eritrea,2010,3.24031896,
Eritrea,2011,3.06088999,
Eritrea,2012,2.97641275,
Eritrea,2013,3.0122195,
Estonia,2003,4.91867721,
Estonia,2004,5.13198242,
Estonia,2005,5.01934025,
Estonia,2006,5.01483256,
Estonia,2007,5.15908483,
Estonia,2008,6.05608547,
Estonia,2009,6.93238582,
Estonia,2010,6.24878186,
Estonia,2011,5.8320426,
Estonia,2012,6.36428657,
Estonia,2013,6.48178731,
Ethiopia,2003,4.63536942,
Ethiopia,2004,4.23459837,
Ethiopia,2005,4.20170809,
Ethiopia,2006,4.46674967,
Ethiopia,2007,4.69032041,
Ethiopia,2008,4.28069284,
Ethiopia,2009,4.40929621,
Ethiopia,2010,6.86140983,
Ethiopia,2011,6.54770287,
Ethiopia,2012,5.76934846,
Ethiopia,2013,5.19220468,
Fiji,2003,3.35233567,
Fiji,2004,3.60774412,
Fiji,2005,3.60776119,
Fiji,2006,3.83604195,
Fiji,2007,3.74015968,
Fiji,2008,3.67865292,
Fiji,2009,4.25794871,
Fiji,2010,4.22789631,
Fiji,2011,4.05573589,
Fiji,2012,4.16378175,
Fiji,2013,4.26284098,
Finland,2003,8.15119542,
Finland,2004,8.20952406,
Finland,2005,8.42946509,
Finland,2006,8.38132513,
Finland,2007,8.09335361,
Finland,2008,8.35417138,
Finland,2009,9.20360107,
Finland,2010,9.0454216,
Finland,2011,9.01149493,
Finland,2012,9.29823712,
Finland,2013,9.54669008,
